MAG,info
SB_biofilm_MAG_1.fa+hits_FGE,"FGE	k141_367965	28.028	289	136	12	5	231	161707	162543	3.23e-18	80.5"
SB_biofilm_MAG_1.fa+hits_FGE,"FGE	k141_367965	28.235	255	110	11	3	187	66617	67372	9.69e-10	55.5"
SB_biofilm_MAG_1.fa+hits_FGE,"FGE	k141_372680	34.302	172	82	5	4	146	19807	20316	1.37e-17	78.6"
SB_biofilm_MAG_1.fa+hits_FGE,"FGE	k141_372680	20.833	120	93	2	60	178	17475	17831	0.071	31.2"
SB_biofilm_MAG_1.fa+hits_FGE,"FGE	k141_263117	43.478	23	13	0	60	82	2098	2030	9.5	24.6"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_109594	47.368	190	73	4	10	172	205694	205125	1.73e-47	162"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_109594	25.346	217	116	6	1	172	160818	161465	2.57e-09	52.8"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_109594	26.168	214	111	8	1	168	293091	292453	1.59e-07	47.4"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_109594	26.633	199	104	7	11	168	13865	13272	2.24e-07	47.0"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_109594	26.027	219	99	7	9	166	318979	319629	2.94e-07	46.6"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_109594	52.941	34	16	0	10	43	451407	451306	7.13e-07	45.4"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_109594	22.222	207	123	7	4	172	477374	477994	9.91e-07	45.1"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_109594	22.886	201	113	8	12	171	352159	352758	3.21e-06	43.5"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_109594	42.857	49	21	1	1	42	283505	283651	2.69e-05	40.8"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_109594	38.462	39	24	0	7	45	11374	11490	5.32e-04	37.0"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_201166	26.667	210	112	6	1	172	40822	41439	1.37e-12	62.0"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_201166	22.010	209	119	5	3	171	8295	8909	1.62e-10	56.2"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_201166	27.941	204	96	8	11	166	288245	288847	8.06e-10	53.9"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_201166	39.130	46	24	1	1	42	31870	31733	0.001	35.4"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_201166	32.000	50	26	1	1	42	240492	240641	0.003	34.7"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_160601	26.000	200	109	5	9	169	58653	58054	3.82e-11	57.8"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_160601	25.234	214	117	5	1	172	40897	40259	6.34e-10	54.3"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_495574	30.233	215	98	9	1	168	25069	25698	4.11e-10	55.1"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_367965	27.979	193	109	7	1	164	468737	469312	1.99e-09	52.8"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_367965	27.727	220	109	8	1	171	118352	119008	6.39e-09	51.6"
SB_biofilm_MAG_1.fa+hits_poly_ex,"polysaccharide_export_cd00267	k141_367965	44.231	52	24	1	1	47	69271	69116	7.00e-07	45.4"
